# dedicated PEs,Get MB/s avg,Write MB/s avg
0r,0,0
1r,5416.098831666671,1322.4669975000006
2r,5336.824511666663,1323.1021133333322
4r,5272.497448333332,1317.3097258333325
8r,5621.479274999998,1371.358460833333
