name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,120,24m26s,[116],24m26s,24m26s,[0],1466.151,[116],1466.154,[0],1466.152,120
exch_data,27962400,0.00000s,[17],0.00098s,0.22821s,[51],155.452,[15],581.475,[114],227.810,120
global_sum,865200,0.00000s,[59],0.00001s,0.01517s,[48],0.065,[97],0.222,[0],0.094,120
ordglb_sum,881160,0.00000s,[24],0.00826s,0.22451s,[101],4.697,[75],91.091,[95],60.622,120
wrt_output,144120,0.00235s,[11],0.00280s,0.04530s,[3],3.181,[109],4.499,[113],3.366,120
physics,864120,0.01513s,[80],0.08922s,0.52937s,[72],637.718,[0],646.825,[115],642.496,120
intp,4465200,0.00001s,[12],0.00008s,0.01097s,[80],1.811,[113],3.632,[78],2.927,120
nh_diagnostics,3024600,0.00000s,[0],0.00053s,0.04898s,[10],11.627,[115],13.738,[109],13.446,120
diagnose_pres_temp,360360,0.00000s,[0],0.00055s,0.00900s,[80],1.059,[112],1.802,[109],1.653,120
model_init,360,0.75057s,[0],1.4021s,2.2720s,[70],4.197,[99],4.218,[0],4.206,120
upper_atmosphere,480,0.00000s,[49],0.00075s,0.00481s,[113],0.001,[108],0.006,[119],0.003,120
write_restart,240,0.00000s,[54],0.00130s,0.00446s,[56],0.000,[0],0.006,[46],0.003,120
