name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,502,05m37s,[47],05m37s,05m37s,[17],337.498,[47],337.501,[17],337.499,502
exch_data,116976040,0.00000s,[76],0.00023s,0.35386s,[422],33.826,[96],102.537,[499],52.734,502
global_sum,3619420,0.00000s,[63],0.00001s,0.04723s,[346],0.025,[141],0.476,[0],0.060,502
ordglb_sum,3686186,0.00002s,[267],0.00493s,0.36175s,[405],5.887,[250],47.293,[190],36.230,502
wrt_output,602902,0.00051s,[1],0.03769s,5.7160s,[55],44.917,[125],45.420,[340],45.271,502
physics,3614902,0.00376s,[304],0.02486s,0.60918s,[55],176.862,[0],179.979,[385],179.032,502
intp,18689460,0.00000s,[1],0.00001s,0.00583s,[304],0.398,[497],0.582,[124],0.482,502
nh_diagnostics,12662950,0.00000s,[0],0.00012s,0.02221s,[499],2.728,[448],3.514,[108],2.951,502
diagnose_pres_temp,1517546,0.00000s,[0],0.00007s,0.00478s,[356],0.178,[443],0.264,[125],0.197,502
model_init,1506,0.55416s,[60],1.2629s,2.1161s,[430],3.767,[273],3.827,[468],3.789,502
upper_atmosphere,2008,0.00000s,[11],0.00111s,0.00783s,[144],0.002,[350],0.009,[484],0.004,502
write_restart,11044,0.00241s,[1],0.07570s,1.3519s,[82],1.627,[109],1.688,[221],1.665,502
