name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,124,31m10s,[73],31m10s,31m10s,[40],1870.159,[73],1870.163,[40],1870.161,124
exch_data,28894480,0.00000s,[2],0.00099s,1.0512s,[109],164.668,[10],580.017,[120],230.589,124
global_sum,894040,0.00000s,[59],0.00003s,0.05707s,[18],0.145,[43],0.336,[0],0.200,124
ordglb_sum,910532,0.00000s,[23],0.00856s,0.23422s,[49],10.041,[60],92.802,[93],62.885,124
wrt_output,248,0.40596s,[40],0.52760s,0.64597s,[56],1.050,[40],1.062,[54],1.055,124
physics,892924,0.01446s,[64],0.08770s,0.75931s,[34],628.988,[0],633.940,[121],631.508,124
intp,4614164,0.00001s,[2],0.00008s,0.00589s,[64],1.882,[115],3.774,[29],3.157,124
nh_diagnostics,2828192,0.00000s,[0],0.00020s,0.05222s,[28],3.762,[122],4.828,[97],4.654,124
diagnose_pres_temp,372496,0.00000s,[0],0.00050s,0.00738s,[64],0.971,[122],1.611,[19],1.514,124
model_init,372,0.22117s,[121],1.5062s,3.1299s,[69],4.499,[39],4.567,[18],4.519,124
upper_atmosphere,496,0.00000s,[9],0.00087s,0.00622s,[42],0.001,[76],0.007,[38],0.003,124
write_restart,149048,0.00945s,[17],0.37668s,1.2464s,[63],452.642,[0],453.551,[121],452.769,124
