name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,254,10m30s,[193],10m30s,10m30s,[33],630.253,[193],630.258,[33],630.255,254
exch_data,59187080,0.00000s,[63],0.00050s,0.19055s,[166],81.719,[156],249.803,[253],115.536,254
global_sum,1831340,0.00000s,[35],0.00002s,0.07751s,[60],0.060,[1],0.421,[0],0.123,254
ordglb_sum,1865122,0.00001s,[72],0.00672s,0.19580s,[112],4.809,[127],69.948,[184],49.337,254
wrt_output,508,0.64487s,[17],0.66956s,0.69072s,[187],1.332,[68],1.349,[253],1.339,254
physics,1829054,0.00721s,[16],0.04541s,0.26873s,[227],324.038,[0],329.077,[250],326.994,254
intp,9151874,0.00000s,[49],0.00004s,0.00843s,[153],0.792,[250],1.738,[8],1.299,254
nh_diagnostics,5493512,0.00000s,[0],0.00005s,0.02015s,[66],0.946,[251],1.346,[211],1.154,254
diagnose_pres_temp,463296,0.00000s,[0],0.00004s,0.00948s,[145],0.026,[251],0.119,[128],0.076,254
model_init,762,0.25163s,[219],1.2138s,2.0944s,[176],3.612,[1],3.701,[97],3.641,254
upper_atmosphere,1016,0.00000s,[9],0.00137s,0.00877s,[207],0.002,[103],0.010,[191],0.005,254
write_restart,5588,0.01275s,[42],0.06410s,0.85863s,[64],1.319,[192],1.489,[249],1.410,254
