name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,128,27m42s,[91],27m42s,27m42s,[96],1662.282,[91],1662.404,[96],1662.332,128
exch_data,29826560,0.00000s,[58],0.00142s,4.8213s,[47],211.208,[96],433.937,[85],330.819,128
global_sum,922880,0.00000s,[1],0.00002s,0.01170s,[49],0.113,[93],0.208,[0],0.130,128
ordglb_sum,939904,0.00001s,[95],0.00846s,0.20075s,[60],6.443,[81],88.778,[50],62.097,128
wrt_output,256,0.41697s,[53],0.44060s,0.46151s,[104],0.876,[96],0.887,[48],0.881,128
physics,921728,0.01426s,[80],0.08631s,0.66227s,[62],617.340,[0],623.000,[57],621.487,128
intp,4763008,0.00001s,[2],0.00008s,0.01180s,[80],2.456,[21],3.445,[64],2.907,128
nh_diagnostics,2919424,0.00000s,[0],0.00022s,0.02363s,[65],4.870,[17],5.235,[7],5.076,128
diagnose_pres_temp,384512,0.00000s,[0],0.00051s,0.01090s,[1],1.434,[17],1.607,[6],1.535,128
model_init,384,0.19848s,[79],1.0693s,1.8055s,[103],3.187,[41],3.226,[85],3.208,128
upper_atmosphere,512,0.00000s,[97],0.00111s,0.00853s,[125],0.001,[26],0.009,[125],0.004,128
write_restart,153856,0.00036s,[33],0.14900s,4.9176s,[0],139.795,[87],286.354,[0],179.102,128
