name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,124,23m47s,[5],23m47s,23m47s,[13],1427.719,[5],1427.721,[13],1427.720,124
exch_data,28894480,0.00000s,[45],0.00103s,0.25700s,[123],155.936,[10],651.786,[122],240.550,124
global_sum,894040,0.00000s,[119],0.00002s,0.02391s,[123],0.074,[75],0.255,[0],0.110,124
ordglb_sum,910532,0.00000s,[9],0.00812s,0.23826s,[114],4.706,[77],88.529,[93],59.651,124
wrt_output,148924,0.00226s,[111],0.01281s,8.0950s,[120],15.143,[0],16.705,[122],15.389,124
physics,892924,0.01451s,[80],0.08648s,0.65252s,[84],618.645,[0],625.829,[121],622.751,124
intp,4614040,0.00001s,[0],0.00008s,0.01215s,[80],1.711,[121],3.808,[46],3.046,124
nh_diagnostics,3125420,0.00000s,[0],0.00052s,0.02579s,[17],11.075,[123],13.467,[1],13.010,124
diagnose_pres_temp,372372,0.00000s,[0],0.00051s,0.00562s,[109],0.686,[123],1.675,[27],1.534,124
model_init,372,0.74271s,[0],1.1019s,1.6864s,[120],3.292,[24],3.330,[0],3.306,124
upper_atmosphere,496,0.00000s,[79],0.00114s,0.00823s,[108],0.002,[10],0.009,[91],0.005,124
write_restart,248,0.00000s,[5],0.00121s,0.00370s,[94],0.000,[18],0.005,[94],0.002,124
