name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,124,31m48s,[114],31m48s,31m48s,[88],1908.704,[114],1908.709,[88],1908.706,124
exch_data,28894480,0.00000s,[27],0.00107s,0.21491s,[93],168.940,[10],680.813,[122],249.817,124
global_sum,894040,0.00000s,[17],0.00001s,0.02803s,[122],0.047,[123],0.220,[0],0.083,124
ordglb_sum,910532,0.00000s,[2],0.00837s,0.23880s,[121],6.522,[77],89.058,[111],61.493,124
wrt_output,148924,0.31126s,[92],0.42156s,10.2434s,[120],506.076,[59],508.147,[0],506.298,124
physics,892924,0.01399s,[112],0.08616s,0.41124s,[0],618.472,[80],624.176,[121],620.464,124
intp,4616520,0.00001s,[0],0.00009s,0.00716s,[112],1.835,[121],4.345,[77],3.358,124
nh_diagnostics,3127900,0.00000s,[0],0.00050s,0.01970s,[101],10.706,[123],12.900,[6],12.517,124
diagnose_pres_temp,374852,0.00000s,[0],0.00046s,0.00549s,[112],0.648,[122],1.541,[61],1.381,124
model_init,372,0.20408s,[54],1.0392s,1.7170s,[21],3.097,[54],3.586,[0],3.118,124
upper_atmosphere,496,0.00000s,[20],0.00105s,0.00720s,[105],0.001,[23],0.008,[105],0.004,124
write_restart,2728,0.00919s,[0],0.07227s,0.79047s,[57],1.120,[0],1.621,[122],1.590,124
