name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,510,27m44s,[87],27m44s,27m44s,[331],1664.247,[87],1664.252,[331],1664.249,510
exch_data,118840200,0.00000s,[27],0.00022s,0.48826s,[456],32.669,[240],88.272,[506],51.095,510
global_sum,3677100,0.00000s,[5],0.00001s,0.06247s,[248],0.020,[51],0.484,[0],0.070,510
ordglb_sum,3744930,0.00001s,[44],0.00488s,0.49441s,[300],6.080,[508],44.045,[209],35.832,510
wrt_output,1020,1.5333s,[384],1.6305s,1.7242s,[115],3.255,[384],3.271,[359],3.261,510
physics,3672510,0.00372s,[8],0.02427s,0.61823s,[508],172.640,[0],175.555,[87],174.754,510
intp,18977610,0.00000s,[0],0.00001s,0.00255s,[126],0.427,[460],0.581,[254],0.482,510
nh_diagnostics,11632080,0.00000s,[0],0.00004s,0.10811s,[508],0.738,[193],1.246,[117],0.904,510
diagnose_pres_temp,1532040,0.00000s,[0],0.00006s,0.00613s,[508],0.172,[333],0.234,[125],0.192,510
model_init,1530,0.29023s,[448],1.5251s,2.1771s,[209],4.550,[477],4.622,[1],4.575,510
upper_atmosphere,2040,0.00000s,[138],0.00120s,0.00873s,[196],0.002,[68],0.010,[267],0.005,510
write_restart,613020,0.00242s,[0],1.1474s,2.7245s,[506],1378.857,[508],1379.351,[421],1379.208,510
