name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,128,01h22m,[1],01h22m,01h22m,[0],4957.093,[1],4957.105,[0],4957.094,128
exch_data,29826560,0.00000s,[3],0.00100s,0.20795s,[36],177.614,[12],297.591,[26],232.216,128
global_sum,922880,0.00000s,[1],0.00002s,0.06949s,[16],0.125,[38],0.183,[16],0.146,128
ordglb_sum,939904,0.00000s,[2],0.00845s,0.20015s,[96],6.926,[0],88.672,[50],62.068,128
wrt_output,256,0.42427s,[63],0.47135s,0.51563s,[86],0.937,[78],0.950,[43],0.943,128
physics,921728,0.01418s,[9],0.08496s,0.59342s,[78],607.648,[0],613.627,[105],611.775,128
intp,4763008,0.00001s,[99],0.00008s,0.00965s,[9],2.423,[83],3.513,[64],3.022,128
nh_diagnostics,2919424,0.00000s,[0],0.00020s,0.05994s,[43],4.463,[97],4.793,[124],4.617,128
diagnose_pres_temp,384512,0.00000s,[0],0.00048s,0.00790s,[9],1.355,[96],1.542,[4],1.444,128
model_init,384,0.19824s,[57],1.1034s,1.8452s,[111],3.301,[39],3.325,[2],3.310,128
upper_atmosphere,512,0.00000s,[12],0.00115s,0.00657s,[119],0.001,[34],0.010,[112],0.005,128
write_restart,153856,0.00000s,[8],2.9855s,17.0363s,[0],3588.262,[4],3607.965,[0],3588.609,128
