name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,1016,13m54s,[606],13m54s,13m54s,[509],834.426,[606],834.431,[509],834.427,1016
exch_data,236748320,0.00000s,[625],0.00067s,0.60924s,[507],76.452,[28],295.594,[853],157.022,1016
global_sum,7325360,0.00000s,[55],0.00002s,0.19539s,[512],0.027,[17],1.654,[0],0.135,1016
ordglb_sum,7460488,0.00001s,[320],0.01641s,0.61306s,[708],14.932,[1013],150.900,[342],120.479,1016
wrt_output,1220216,0.00100s,[254],0.07509s,6.6091s,[104],87.759,[1013],90.624,[978],90.188,1016
physics,7316216,0.00671s,[912],0.05398s,0.69951s,[992],380.042,[1007],395.869,[341],388.682,1016
intp,37805360,0.00000s,[16],0.00004s,0.00964s,[704],1.018,[324],1.728,[31],1.362,1016
nh_diagnostics,25608280,0.00000s,[0],0.00023s,0.04872s,[1011],5.338,[978],9.287,[1015],5.912,1016
diagnose_pres_temp,3051048,0.00000s,[0],0.00015s,0.02131s,[739],0.370,[442],0.824,[1013],0.447,1016
model_init,3048,0.63673s,[0],1.8625s,3.3912s,[269],5.554,[536],5.616,[313],5.587,1016
upper_atmosphere,4064,0.00000s,[53],0.00123s,0.01188s,[236],0.001,[131],0.015,[504],0.005,1016
write_restart,2032,0.00000s,[2],0.00086s,0.00505s,[627],0.000,[20],0.005,[627],0.002,1016
