name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,96,30m48s,[25],30m48s,30m48s,[52],1848.763,[25],1848.765,[52],1848.764,96
exch_data,22369920,0.00000s,[8],0.00109s,0.24255s,[80],168.708,[8],333.506,[65],253.028,96
global_sum,692160,0.00000s,[1],0.00001s,0.01643s,[30],0.064,[25],0.196,[0],0.088,96
ordglb_sum,704928,0.00000s,[0],0.00829s,0.24385s,[58],7.713,[27],130.456,[59],60.856,96
wrt_output,115296,0.00294s,[42],0.00338s,0.01403s,[21],3.950,[93],4.170,[32],4.055,96
physics,691296,0.02003s,[9],0.11020s,0.45370s,[13],790.544,[92],797.292,[51],793.532,96
intp,3572160,0.00001s,[1],0.00011s,0.00652s,[9],3.077,[67],4.768,[48],4.113,96
nh_diagnostics,2419680,0.00000s,[0],0.00067s,0.02218s,[79],16.718,[63],17.164,[1],16.953,96
diagnose_pres_temp,288288,0.00000s,[0],0.00075s,0.01173s,[9],2.162,[82],2.359,[93],2.257,96
model_init,288,0.72984s,[0],1.7180s,3.0771s,[0],5.144,[60],5.166,[31],5.154,96
upper_atmosphere,384,0.00000s,[34],0.00053s,0.00423s,[82],0.001,[12],0.005,[82],0.002,96
write_restart,192,0.00000s,[30],0.00094s,0.00421s,[77],0.000,[30],0.004,[77],0.002,96
