name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,252,12m21s,[25],12m21s,12m21s,[206],741.435,[25],741.468,[206],741.450,252
exch_data,58721040,0.00000s,[2],0.00064s,0.37719s,[157],93.993,[40],280.353,[251],150.178,252
global_sum,1816920,0.00000s,[7],0.00005s,0.03621s,[133],0.101,[1],1.056,[0],0.389,252
ordglb_sum,1850436,0.00001s,[27],0.00788s,0.36675s,[74],10.327,[125],117.113,[145],57.891,252
wrt_output,302652,0.00101s,[65],0.01779s,5.2220s,[29],19.475,[167],23.015,[5],21.361,252
physics,1814652,0.00742s,[41],0.05231s,0.44229s,[10],372.469,[235],380.232,[94],376.684,252
intp,9376920,0.00000s,[215],0.00004s,0.03222s,[114],0.825,[248],1.769,[126],1.372,252
nh_diagnostics,6351660,0.00000s,[0],0.00035s,0.02324s,[111],6.340,[16],11.776,[118],8.848,252
diagnose_pres_temp,756756,0.00000s,[0],0.00023s,0.00712s,[239],0.435,[209],0.980,[162],0.679,252
model_init,756,0.67869s,[53],1.5242s,2.9601s,[183],4.558,[206],4.601,[52],4.572,252
upper_atmosphere,1008,0.00000s,[32],0.00145s,0.00904s,[19],0.002,[17],0.011,[249],0.006,252
write_restart,504,0.00000s,[21],0.00098s,0.00469s,[210],0.000,[107],0.005,[210],0.002,252
