name,# calls,t_min,t_avg,t_max,total min (s),total max (s),total avg (s)
model_init,1,0.00019s,0.00019s,0.00019s,0.000,0.000,0.000
write_restart,21,0.98762s,1.6045s,3.2198s,33.695,33.695,33.695
write_restart_communication,3462,0.00000s,0.13329s,32.8461s,461.456,461.456,461.456
