name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2047,06m28s,[1948],06m28s,06m28s,[32],388.310,[1948],388.319,[32],388.314,2047
exch_data,476991940,0.00000s,[51],0.00019s,0.88132s,[2042],24.630,[574],91.817,[2041],44.713,2047
global_sum,14758870,0.00000s,[19],0.00001s,0.07181s,[927],0.024,[291],0.848,[0],0.052,2047
ordglb_sum,15031121,0.00002s,[80],0.00705s,0.88394s,[1535],13.659,[2042],57.103,[1883],51.757,2047
wrt_output,4094,19.1365s,[36],58.2076s,01m37s,[0],116.228,[36],116.445,[2024],116.415,2047
physics,14740447,0.00364s,[1248],0.02504s,0.92877s,[1505],177.085,[0],181.368,[1491],180.308,2047
intp,73755457,0.00000s,[5],0.00001s,0.00934s,[2044],0.365,[1394],0.525,[1070],0.436,2047
nh_diagnostics,44272516,0.00000s,[0],0.00002s,0.01057s,[835],0.324,[1347],0.541,[1589],0.399,2047
diagnose_pres_temp,3733728,0.00000s,[0],0.00000s,0.00448s,[996],0.004,[773],0.010,[2039],0.005,2047
model_init,6141,1.4277s,[8],8.4302s,19.7214s,[1825],25.240,[14],25.355,[0],25.291,2047
upper_atmosphere,8188,0.00000s,[71],0.00116s,0.00892s,[402],0.001,[649],0.011,[1100],0.005,2047
write_restart,45034,0.00236s,[1],0.65313s,13.0822s,[569],14.311,[0],14.405,[18],14.369,2047
