name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,512,13m11s,[332],13m11s,13m11s,[128],791.542,[332],791.923,[128],791.547,512
exch_data,119306240,0.00000s,[28],0.00232s,1.9239s,[3],46.137,[334],587.733,[339],540.525,512
global_sum,3691520,0.00000s,[43],0.00001s,0.04715s,[495],0.023,[339],0.403,[0],0.057,512
ordglb_sum,3759616,0.00001s,[260],0.00491s,0.41781s,[100],4.598,[17],45.939,[460],36.048,512
wrt_output,1024,1.5627s,[105],1.6611s,1.7559s,[280],3.316,[105],3.333,[385],3.322,512
physics,3686912,0.00370s,[352],0.02423s,0.45643s,[103],170.625,[0],175.850,[100],174.450,512
intp,19052032,0.00000s,[3],0.00001s,0.00444s,[433],0.420,[291],0.576,[495],0.484,512
nh_diagnostics,11677696,0.00000s,[0],0.00004s,0.02582s,[273],0.734,[339],1.369,[133],0.950,512
diagnose_pres_temp,1538048,0.00000s,[0],0.00007s,0.01063s,[287],0.177,[350],0.276,[129],0.205,512
model_init,1536,0.28410s,[80],1.4949s,2.1324s,[503],4.459,[113],4.530,[495],4.485,512
upper_atmosphere,2048,0.00000s,[116],0.00132s,0.00800s,[35],0.002,[246],0.010,[35],0.005,512
write_restart,615424,0.00221s,[352],0.00730s,1.9314s,[0],4.740,[17],505.780,[0],8.774,512
