name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,125,24m29s,[96],24m29s,24m29s,[118],1469.479,[96],1469.482,[118],1469.480,125
exch_data,29127500,0.00000s,[5],0.00098s,0.95191s,[104],164.910,[76],586.992,[121],227.433,125
global_sum,901250,0.00000s,[124],0.00001s,0.00993s,[69],0.060,[87],0.221,[0],0.091,125
ordglb_sum,917875,0.00000s,[11],0.00857s,0.29639s,[71],7.511,[60],90.791,[31],62.960,125
wrt_output,150125,0.00225s,[96],0.05787s,7.6696s,[0],69.320,[6],70.582,[123],69.503,125
physics,900125,0.01461s,[96],0.08603s,1.0894s,[39],617.800,[29],622.488,[121],619.478,125
intp,4653750,0.00001s,[1],0.00008s,0.00551s,[96],1.899,[118],3.685,[92],2.989,125
nh_diagnostics,3153125,0.00000s,[0],0.00050s,0.01444s,[5],11.041,[123],12.876,[1],12.578,125
diagnose_pres_temp,377875,0.00000s,[0],0.00050s,0.00437s,[33],0.857,[123],1.690,[6],1.524,125
model_init,375,0.74171s,[91],1.1089s,1.8409s,[17],3.316,[103],3.339,[26],3.327,125
upper_atmosphere,500,0.00000s,[18],0.00095s,0.00692s,[55],0.001,[6],0.008,[0],0.004,125
write_restart,2750,0.00906s,[0],0.05947s,0.94030s,[3],1.291,[0],1.319,[114],1.308,125
