name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,1022,26m20s,[385],26m20s,26m20s,[750],1580.558,[385],1580.565,[750],1580.560,1022
exch_data,238146440,0.00000s,[929],0.00061s,0.73638s,[861],65.214,[284],281.618,[858],142.273,1022
global_sum,7368620,0.00000s,[3],0.00001s,0.05320s,[928],0.026,[271],0.711,[0],0.082,1022
ordglb_sum,7504546,0.00002s,[146],0.01613s,0.90769s,[805],10.059,[1019],148.667,[632],118.427,1022
wrt_output,1227422,0.00102s,[993],0.70874s,7.8269s,[913],848.092,[1020],851.834,[325],851.195,1022
physics,7359422,0.00707s,[176],0.05332s,0.98971s,[624],374.489,[1021],391.429,[619],383.963,1022
intp,38028620,0.00000s,[51],0.00004s,0.09450s,[1020],1.031,[567],1.794,[1020],1.381,1022
nh_diagnostics,25759510,0.00000s,[0],0.00024s,0.25547s,[1021],5.364,[802],9.945,[1021],5.951,1022
diagnose_pres_temp,3069066,0.00000s,[0],0.00015s,0.01388s,[762],0.372,[793],0.763,[1019],0.439,1022
model_init,3066,0.64359s,[0],3.5539s,8.9537s,[521],10.644,[277],10.701,[237],10.662,1022
upper_atmosphere,4088,0.00000s,[208],0.00117s,0.00915s,[284],0.001,[792],0.011,[747],0.005,1022
write_restart,2044,0.00000s,[21],0.00147s,0.01220s,[239],0.000,[0],0.015,[250],0.003,1022
