name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,512,02h12m,[328],02h12m,02h12m,[0],7944.098,[328],7944.111,[0],7944.100,512
exch_data,119306240,0.00000s,[25],0.00030s,0.55325s,[337],47.303,[384],117.142,[339],69.904,512
global_sum,3691520,0.00000s,[3],0.00001s,0.03888s,[20],0.033,[339],0.469,[0],0.085,512
ordglb_sum,3759616,0.00002s,[109],0.00599s,0.65299s,[197],7.561,[17],59.278,[118],44.020,512
wrt_output,1024,1.5722s,[64],1.7330s,1.8925s,[333],3.449,[140],3.479,[316],3.466,512
physics,3686912,0.00369s,[353],0.02610s,0.69596s,[336],182.454,[0],191.288,[103],187.931,512
intp,19052032,0.00000s,[0],0.00001s,0.00092s,[177],0.404,[457],0.589,[0],0.481,512
nh_diagnostics,11677696,0.00000s,[0],0.00005s,0.07770s,[404],0.763,[339],1.964,[8],1.117,512
diagnose_pres_temp,1538048,0.00000s,[0],0.00007s,0.00734s,[407],0.184,[114],0.329,[128],0.222,512
model_init,1536,0.28613s,[165],2.6190s,5.4221s,[163],7.841,[229],7.890,[20],7.857,512
upper_atmosphere,2048,0.00000s,[44],0.00122s,0.00861s,[509],0.001,[384],0.010,[509],0.005,512
write_restart,615424,0.00000s,[0],6.3445s,21.3271s,[0],7625.641,[1],7640.428,[0],7626.117,512
